search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
766,Fit Freak Mint Camouflage Training Short Sleeve Top,400.0,50,200.0,5.0,1,Non,Not a brand,Jumia
767,SHEIN Contrast Lace Ruffle Trim Button Front Blouse,700.0,23,539.0,5.0,2,Non,Not a brand,Jumia
768,Satin Formal Blouse /Chemise  -very Soft-Dark Turquoise,410.0,0,410.0,3.7,10,Non,Not a brand,Jumia
769,American Eagle Graphic Tee,700.0,50,350.0,5.0,8,official_store,american,Jumia
770,GERRY Dry-Fit Sports T-shirt- Sky,299.0,0,299.0,4.8,38,Non,Not a brand,Jumia
771,American Eagle Slim Graphic Tee,1100.0,40,660.0,5.0,2,official_store,american,Jumia
772,Sun Set Sunset Women Cotton Button Down Casual Blouse Tops Yellow,900.0,61,350.0,4.0,6,Non,Not a brand,Jumia
773,Mesery Bundle Of (3) Spaghetti Sleeves  + Bundle Of Six Women Brief,599.0,50,299.0,4.2,121,official_store,mesery,Jumia
774,Aerie Oversized Graphic Boyfriend T-Shirt,750.0,50,375.0,5.0,2,official_store,aerie,Jumia
775,Bebo Striped Blouse Half Fit-Light Blue On White,170.0,50,85.0,,0,Non,Not a brand,Jumia
776,Defacto Girl Pink Long Sleeve Shirt,699.0,0,699.0,5.0,2,official_store,defacto,Jumia
777,American Eagle Oversized Crew Neck True Tee.,700.0,50,350.0,4.9,8,official_store,american,Jumia
778,Defacto Regular Fit Long Sleeve Half Turtleneck Tunic.,698.88,30,488.88,,0,Non,Not a brand,Jumia
779,Defacto Regular Fit Crew Neck Hole Work Sweater,698.88,30,489.3,,0,Non,Not a brand,Jumia
780,Matalan MEN SE TIPPED INTERLOCK TEE,875.0,10,790.0,,0,official_store,matalan,Jumia
781,aZeeZ Black Quick Dry Breathable Athletic Sports T-Shirt,450.0,27,329.0,4.0,19,Non,Not a brand,Jumia
782,ASTK Women Satin Shirt OVERSIZE FIT,899.0,51,439.0,5.0,1,official_store,astk,Jumia
783,American Eagle Rolled Sleeve Soft & Sexy T-Shirt,700.0,50,350.0,4.9,9,official_store,american,Jumia
784,Caesar Boys Collared Neck Polo Shirt,450.0,63,187.0,5.0,2,Non,Not a brand,Jumia
785,American Eagle Daily Fave Tank Top,600.0,40,360.0,,0,official_store,american,Jumia
786,American Eagle Slim Fit Polo Shirt,1400.0,30,980.0,4.6,40,official_store,american,Jumia
787,Defacto Traditional Shirt Collar Long Sleeve Tunic,698.88,30,488.88,4.3,3,official_store,defacto,Jumia
788,Defacto 2 piece Regular Fit Long Sleeve T-Shirt,248.8,0,248.8,,0,Non,Not a brand,Jumia
789,El Negm ElSharky HEDEA_Women's Lace Bolero,285.0,46,154.75,4.4,12,Non,Not a brand,Jumia
790,Defacto Relax Fit Thin Sweatshirt Fabric Crew Neck Slogan Sweat Tunic,598.92,30,419.16,4.3,3,official_store,defacto,Jumia
791,American Eagle Super Soft Icon V-Neck T-Shirt,850.0,40,510.0,4.6,120,official_store,american,Jumia
792,"M Sou ""Baby Girl, 90's Baby"" White Oversized Short Sleeves T-Shirt",299.0,50,149.5,,0,Non,Not a brand,Jumia
793,Cottonil Pack Of (2) Cotto-Vega High Neck Sleeveless Undershirt,300.0,24,229.0,4.9,8,Non,Not a brand,Jumia
794,Ravin Short Sleeves Zebra Mocha & Black Crop Top,199.99,50,99.99,5.0,1,official_store,ravin,Jumia
795,Women's T-shirt Made Of Ribbed Cotton - Pink,249.99,50,124.99,5.0,1,Non,Not a brand,Jumia
796,Mothercare Blue And Red Striped Long-sleeved T-shirts - 2 Pack,550.0,27,400.0,,0,official_store,mothercare,Jumia
797,T-shirt Oversized For Women .printed Cotton T-shirt.drop Sholder,299.0,16,250.0,4.8,5,Non,Not a brand,Jumia
798,American Eagle Oversized Rolled Sleeve True Tee,700.0,50,350.0,3.9,7,official_store,american,Jumia
799,Andora Heather Blue Turn Down Collar Polo Shirt,344.0,33,229.0,4.0,2,official_store,andora,Jumia
800,Cottonil Cotton Lyra Sleeveless Top For Women,190.0,43,109.0,4.8,12,Non,Not a brand,Jumia
801,Cottonil Outwear Basic Round Short Sleeves White T-shirt,175.0,15,148.75,4.1,7,official_store,cottonil,Jumia
802,Defacto Regular Fit Polo Neck Stripe Detailed Short Sleeve T-Shirt,399.0,44,223.44,4.2,6,official_store,defacto,Jumia
803,Air Walk Summer Vibes Sleeveless T-Shirt - Royal Blue,199.0,25,149.0,4.5,4,official_store,air,Jumia
804,American Eagle Go Big Oversized Shirt,2000.0,30,1400.0,,0,official_store,american,Jumia
805,AlNasser Black Printed Short Sleeves Girls Tees,80.0,0,80.0,,0,Non,Not a brand,Jumia
806,American Eagle Soft & Sexy Oversized Crew Neck T-Shirt,800.0,50,400.0,5.0,1,official_store,american,Jumia
807,Satin Formal Blouse/ Chemise -very Soft - White,410.0,0,410.0,4.4,24,Non,Not a brand,Jumia
808,Mesery Bundle Of (5) Spaghetti Sleeves Plain Tank Tops.,599.0,58,249.0,4.1,68,official_store,mesery,Jumia
809,Defacto Traditional Crew Neck Short Sleeve T-Shirt,349.02,52,168.84,,0,Non,Not a brand,Jumia
810,American Eagle Striped Pique Polo Shirt,1400.0,30,980.0,,0,official_store,american,Jumia
811,American Eagle AE Long-Sleeve Thermal T-Shirt,1300.0,30,910.0,5.0,4,official_store,american,Jumia
812,American Eagle Rolled Sleeve Soft & Sexy T-Shirt,700.0,50,350.0,5.0,8,official_store,american,Jumia
813,Bebo Floral Blouse_pink,90.0,44,50.0,,0,Non,Not a brand,Jumia
814,Aerie Long Sleeve Crewneck T-Shirt,750.0,40,450.0,4.7,3,official_store,aerie,Jumia
815,American Eagle Tropical Button-Up Resort Shirt.,1300.0,50,650.0,5.0,5,official_store,american,Jumia
816,American Eagle AE Short-Sleeve V-Neck T-Shirt,850.0,40,510.0,5.0,6,official_store,american,Jumia
817,Izor Plain Basic Short Sleeves Round Neck T-Shirt - White,699.0,76,165.0,3.0,2,official_store,izor,Jumia
818,Cottonil Cottovega Fuchsia Spaghetti Sleeves Undershirt,94.0,15,79.9,4.7,15,official_store,cottonil,Jumia
819,American Eagle Cropped Button-Up Shirt.,1250.0,50,625.0,5.0,4,official_store,american,Jumia
820,Defacto Regular Fit Crew Neck Tunic,698.88,30,488.88,,0,official_store,defacto,Jumia
821,American Eagle AE Super Soft Pique Polo Shirt,1000.0,50,500.0,4.6,20,official_store,american,Jumia
822,Defacto Regular Fit Long Sleeve Shirt,348.8,0,348.8,5.0,1,Non,Not a brand,Jumia
823,Round Neck  Long Sleeves T-Shirt - Gray,105.0,6,99.0,,0,Non,Not a brand,Jumia
824,M Sou Solid Patterned Loose Fit Turn Down Collar Shirt - Mint Green,399.99,50,200.0,5.0,1,Non,Not a brand,Jumia
