search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1,SUTRA Casual Sneakers Dark Blue,649.0,50,325.0,,,official_store,sutra,sutra
2,SUTRA Casual Shoes Gray,649.0,50,325.0,,,official_store,sutra,sutra
3,SUTRA Casual Sneakers Black,599.0,50,300.0,,,official_store,sutra,sutra
4,SUTRA Casual Shoes Black&White,649.0,50,325.0,,,official_store,sutra,sutra
5,SUTRA Casual Shoes-1 White,549.0,50,275.0,,,official_store,sutra,sutra
6,SUTRA Casual Shoes Dark Blue&Gray,649.0,50,325.0,,,official_store,sutra,sutra
7,SUTRA Casual Shoes White,649.0,50,325.0,,,official_store,sutra,sutra
8,SUTRA Casual Shoes White&Red,649.0,50,325.0,,,official_store,sutra,sutra
9,SUTRA Casual Shoes Black,599.0,50,300.0,,,official_store,sutra,sutra
