search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
44,(No Switch-B)Waterproof Panel Type C PD Socket Adapter,1100.0,20,880.0,,0,Non,Not a brand,Jumia
45,（Green Led Light）Black Color 12V 120W Motorcycle Car Boat Tractor Accessory Waterproof  Lighter Power Socket Plug Outlet Car-styling,676.0,23,520.0,,0,Non,Not a brand,Jumia
46,(DC Charger)Car Lighter Adapter AC 220V To DC 12V EU,838.0,20,670.0,,0,Non,Not a brand,Jumia
47,(Model F)1Pcs Universal Car Lighter On Cover Aluminum,838.0,20,670.0,,0,Non,Not a brand,Jumia
48,(US Plug)2021 AC 220V To DC 12V Car  Lighter Socket EU US,838.0,20,670.0,,0,Non,Not a brand,Jumia
49,(Style102)Portable DIN To USB Outlet DIN Socket USB,1237.0,20,990.0,,0,Non,Not a brand,Jumia
50,(Without Lighter-B)12 Volt Car Backlight Adapter,1072.0,21,850.0,,0,Non,Not a brand,Jumia
51,1pcs/3pcs/5pcs Metal Plate Disk For Magnet Car Phone Holder Iron Sheet Sticker For Magnetic,1066.0,42,618.0,,0,Non,Not a brand,Jumia
52,(Orange)Lighter Socket Splitter12V/24V Dual USB Outlet,948.0,21,750.0,,0,Non,Not a brand,Jumia
53,(Red)12V-24V Car  Lighter Socket Motorcycle Car Auto Boat,838.0,20,670.0,,0,Non,Not a brand,Jumia
54,(196-Black)Portable DIN To USB Outlet DIN Socket USB,1210.0,21,960.0,,0,Non,Not a brand,Jumia
55,(type 1 Red)Car  Lighter Sockets Dual USB Motorcycle,948.0,21,750.0,,0,Non,Not a brand,Jumia
56,(Green)12V-24V Car  Lighter Socket Motorcycle Car Auto Boat,838.0,20,670.0,,0,Non,Not a brand,Jumia
57,(black)Car  Lighter Socket 12V Waterproof Auto Boat,838.0,20,670.0,,0,Non,Not a brand,Jumia
58,（5pcs）2/5pcs Motorcycle  Lighter Socket USB 12V Waterproof Car Boat Power Outlet Socket Receptacle  Motorbike Power Plug  A35,676.0,23,520.0,,0,Non,Not a brand,Jumia
59,Magnetic Metal Plate For Car Phone Holder Iron Sheet Disk Sticker Telefon Magnet Stand For,1239.0,42,718.0,,0,Non,Not a brand,Jumia
60,Metal Plate With Adhesive Iron Plate For Magnetic Car Phone Holder Stand Circular Square Iron,1066.0,42,618.0,,0,Non,Not a brand,Jumia
61,（200CM）2019 New 12V 24V 10A Car Accessory  Lighter 2m Extension Cable 1m 5m Lighter Socket  Extension Power Cable W9F2,810.0,23,623.0,,0,Non,Not a brand,Jumia
62,(Package C)Universal Motorcycle Car  Lighter Cover Metal,676.0,23,520.0,,0,Non,Not a brand,Jumia
63,(4m)12V 24V DC Car  Lighter Plug Pre Wired Male,1058.0,21,840.0,,0,Non,Not a brand,Jumia
64,"2Pcs 12V Universal Vehicle  Lighter Socket Connector Plug 15A Play In Cars, Trucks, RVs Or Boats Wholesale",676.0,23,520.0,,0,Non,Not a brand,Jumia
65,1pcs/3pcs/5pcs Metal Plate Disk For Magnet Car Phone Holder Iron Sheet Sticker For Magnetic,1066.0,42,618.0,,0,Non,Not a brand,Jumia
66,10Pcs/5pcs/lot Metal Plate Disk Iron Sheet For Magnetic Car Phone Holder Stand Metal Plate For,1322.0,42,767.0,,0,Non,Not a brand,Jumia
67,(Type-2 Blue)4 In 1 LED Digital 12V  Lighter Socket USB,838.0,20,670.0,,0,Non,Not a brand,Jumia
68,(With Lighter-G)12 Volt Car Backlight Adapter,1072.0,21,850.0,,0,Non,Not a brand,Jumia
69,（Green Add Wire） Lighter Socket Waterproof 12V Power Plug Outlet Receptacle For Car Marine Motorcycle ATV RV Socket Power Outlet,676.0,23,520.0,,0,Non,Not a brand,Jumia
70,(196-Blue)Portable DIN To USB Outlet DIN Socket USB,1210.0,21,960.0,,0,Non,Not a brand,Jumia
71,(Gold)Universal 12V Car  Lighter Socket 3.1A Dual-port USB,838.0,20,670.0,,0,Non,Not a brand,Jumia
