search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1839,"Izor ""Happiness Comes In Waves"" Printed Short Sleeves Black T-Shirt",599.0,69,184.0,1.0,1,official_store,izor,Jumia
1840,White Rabbit Bi-Tone Self Pattern Summer Tee - Light Red & Navy Blue,364.0,50,182.0,0.0,0,Non,Not a brand,Jumia
1841,American Eagle V-Neck T-Shirt,850.0,40,510.0,5.0,1,Non,Not a brand,Jumia
1842,Fashion Summer3D Printing American Flag Fashion Handsome MenT-Shirt Casual Breathable Short Sleeve Oversized T-Shirt Fashion O-Neck Tops-OYWY-0001,179.05,0,179.05,5.0,1,Non,Not a brand,Jumia
1843,White Rabbit Front Printed Short Sleeves  T-shirt - Green,332.0,50,166.0,5.0,1,Non,Not a brand,Jumia
1844,Izor Basic Solid Pattern Purple T-Shirt With Black Neck Collar,499.0,63,184.0,4.7,3,official_store,izor,Jumia
1845,White Rabbit Round Neck Short Sleeves Regular Fit Tee - White,381.0,50,190.0,0.0,0,Non,Not a brand,Jumia
1846,Diadora Men Cotton Printed T-Shirt - Navy,249.0,30,174.0,5.0,1,Non,Not a brand,Jumia
1847,"Izor ""Game For Peace"" Printed Patterned Round Neck T-Shirt - Brown.",300.0,29,214.0,5.0,1,Non,Not a brand,Jumia
1848,Activ Self Pattern Standard Fit Cotton T-Shirt - Coffee & Beige,399.0,58,169.0,5.0,1,official_store,activ,Jumia
1849,Izor Casual Round Short Sleeves Slip On T-Shirt - Grey & Red,499.0,67,164.0,4.0,3,official_store,izor,Jumia
1850,AKAI Printed Cotton T-Shirt First Rate For Men - Mango Yellow,225.0,22,175.0,3.9,60,Non,Not a brand,Jumia
1851,Black Flexy-Air Sport Stuff Sleeveless,380.0,20,304.0,5.0,4,Non,Not a brand,Jumia
1852,Handmade Cuff Links - Mohamed Name - Silver Plated & Neikal,700.0,43,399.2,0.0,0,Non,Not a brand,Jumia
1853,Activ Round Neck Summer Cotton Black Tee,499.0,60,199.0,4.0,1,official_store,activ,Jumia
1854,Umbro ONE COLOR PRINT V NECK FOR MEN COLOUR WHITE,480.0,40,288.0,0.0,0,Non,Not a brand,Jumia
1855,ADIDAS OWN THE RUN COLORBLOCK TEE Hd0954,2379.0,32,1619.0,5.0,1,Non,Not a brand,Jumia
1856,Izor Plain Basic Short Sleeves Round Neck T-Shirt - Light Olive,699.0,76,165.0,5.0,7,official_store,izor,Jumia
1857,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1858,Pavone Printed Short Sleeves Round Neck T-Shirt - Multicolor,350.0,59,144.0,0.0,0,Non,Not a brand,Jumia
1859,Clever T-shirt Round Burgundy,500.0,76,120.0,0.0,0,official_store,clever,Jumia
1860,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,3.0,2,official_store,mesery,Jumia
